name,title,company,bio,talk_title,photo_url,twitter,linkedin
Emma Todd,CEO,MMH Technology Group,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/67b47d656a9067fcfda6e35a_EmmaTodd_HEAD.jpeg,,
"Anthony Anzalone ""Burnt Banksy""",Founder & CEO,XION,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68af386ebd821ea0a9c4becf_anthony.png,,
David Wachsman,CEO,Wachsman,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeba5745296ac4c5da01_679bafdc4af8710801818629_DavidWachsman_HEAD.webp,,
Laura Leparulo,Head of Marketing,Blockchain Futurist Conference,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68ff82c423f06d2207216751_HEADSHOT-LAURA.JPG,,
Sami Start,Co-Founder & CEO,Transak,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6895f9c595b6669bc116f584_sami.png,,
Julie Lamb,Founder,NFT VIP,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eebbee828cf78ee9ca69_67b47d93ba9581d07a99c2ea_JulieLamb_HEAD.jpeg,,
"""Web""",Content Strategist,Doginal Dogs,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d0239f3e192c88b737d0ef_AustinBaker_HEAD.JPEG,,
Gianni D'Alerta,Co-Founder,Purple Horizons: Marketing Innovation Lab,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6879283a19102b29cf1c07f5_GianniD%27Alerta_HEAD.jpeg,,
Alice Hou,Research Analyst,Messari,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68efb005d8a940538bab6fc0_AliceHou_HEAD.jpeg,,
Antonio's Brasse,"CPA, CIA, CFSA, CISA, CAMS CEO & Co-Founder",BlockQuake,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68af45a7d7ed3f4149adf2f0_antoniobrasse_head_720.jpg,,
Lana Schwartzman,"VP, Global Regulatory & Compliance Strategy",Notabene,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d3e4a8b794ab80b0018d7f_LanaSchwartzman_HEAD.jpg,,
Dustin Stockton,Managing Partner,Look,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68ff8373a795b7631cf48ff9_DustinStockton_HEAD%201.png,,
Mostafa Al-Mashita,"Co-Founder & Director of Sales & Trading, Secure Digital Markets","Principle, Printing Capital",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8620a55e0b1262c38bf43_MostafaAl-Mashita_HEAD%203.png,,
Anna,CEO,ThreeSquared,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d3e57761d22350c33b6c40_Anna_HEAD.jpg,,
Cade Bergman,Co-Owner,WOLF Bitcoin,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f046de9978ab1a769885a1_CadeBergman_HEAD.jpeg,,
Tony Evans,Co-Founder & CSO,CETI,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8627a9539bf916ce0b486_TonyEvans_HEAD%201.png,,
Justyna Osowska,Founder,Women in Blockchain Canada,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/689601af62e59ad593ab9db3_688255b001aca56990eac969_JustynaOsowska_HEAD%20(1)%201.png,,
Jan Pachner,Secretary General,One Ocean Foundation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc22948d11d3195b0be279_JanPachner_HEAD%201.png,,
Andrea Crespi,Artist & Creator,Andrea Crespi Studio,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e61ed82e9be263bcdf882a_AndreaCrespi_HEAD%201.png,,
Art Malkov,Co-Founder,Web3Lab,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc239df6bead8f5631833c_ArtMalkov_HEAD%201.png,,
Lucía Gallardo,"Founder, Emerge","Co-Founder, AeraTech",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc252522152a24dc362e3f_LuciaGallardo_HEAD%201.png,,
Richard Ells,CEO,Electroneum,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68d3f26cc552c599a25d5cfa_richardells_head_720%201.png,,
Keeyan Ravanshid,Co-Founder,HODL Markets,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a86992c5550d9db726c5c6_KeeyanRavanshid_HEAD%202.png,,
Katie Evans,Chief Business Development Officer,Swarm,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68baf0b95b7ffe0071bf37e7_KatieEvans_HEAD%201.png,,
